id ,x,y
1,0.10,0.95
2,0.15,0.89
3,0.12,0.40
4,0.09,0.24
5,0.00,0.00
6,0.16,0.43
7,0.15,0.89
8,0.15,0.57
9,0.00,0.00
10,0.10,0.51
11,0.15,0.67
12,0.14,0.56
13,0.14,0.48
14,0.22,0.53
15,0.25,0.00
16,0.16,0.51
17,0.13,0.44
18,0.12,0.56
19,0.06,0.24
20,0.13,0.67
21,0.14,0.66
22,0.08,0.52
23,0.07,0.44
24,0.19,0.37
25,0.19,0.45
26,0.19,0.45
27,0.14,0.42
28,0.11,0.40
29,0.11,0.48
30,0.18,0.52
31,0.17,0.42
32,0.13,0.60
33,0.07,0.40
34,0.12,0.27
35,0.06,0.19
36,0.00,0.00
37,0.27,0.20
38,0.15,0.88
39,0.16,0.61
40,0.00,0.00
41,0.11,0.53
42,0.16,0.52
43,0.12,0.39
44,0.17,0.49
45,0.06,0.44
46,0.19,0.22
47,0.17,0.44
48,0.15,0.61
49,0.13,0.45
50,0.05,0.59
51,0.08,0.50
52,0.02,0.67
53,0.12,0.51
54,0.21,0.85
55,0.14,0.60
56,0.13,0.51
57,0.17,0.44
58,0.14,0.57
59,0.13,0.64
60,0.17,0.44
61,0.14,0.53
62,0.11,0.80
63,0.17,0.33
64,0.00,0.00
65,0.15,0.37
66,0.10,0.50
67,0.24,0.51
68,0.18,0.41
69,0.00,0.00
70,0.20,0.55
71,0.16,0.64
72,0.00,0.00
73,0.13,0.67
74,0.18,0.62
75,0.00,0.00
76,0.00,0.00
77,0.15,0.43
78,0.14,0.43
79,0.12,0.50
80,0.14,0.59
81,0.16,0.60
82,0.30,0.50
83,0.19,0.40
84,0.03,0.77
85,0.04,0.36
86,0.12,0.53
87,0.09,0.71
88,0.16,0.58
89,0.07,0.51
90,0.15,0.51
91,0.15,0.47
92,0.14,0.47
93,0.14,0.62
94,0.11,0.54
95,0.18,0.79
96,0.09,0.53
97,0.06,0.58
98,0.23,0.56
99,0.22,0.70
100,0.11,0.44
101,0.16,0.59
102,0.14,0.48
103,0.18,0.42
104,0.14,0.57
105,0.15,0.61
106,0.14,0.35
107,0.08,0.44
108,0.13,0.65
109,0.11,0.76
110,0.10,0.30
111,0.12,0.52
112,0.17,0.44
113,0.14,0.45
114,0.13,0.72
115,0.19,0.20
116,0.10,0.71
117,0.21,0.42
118,0.20,0.25
119,0.06,0.56
120,0.17,0.50
121,0.08,0.69
122,0.15,0.43
123,0.13,0.47
124,0.31,0.50
125,0.00,0.33
126,0.13,0.58
127,0.09,0.61
128,0.12,0.40
129,0.10,0.57
130,0.12,0.75
131,0.14,0.45
132,0.10,0.54
133,0.07,0.20
134,0.00,0.00
135,0.16,0.65
136,0.13,0.60
137,0.16,0.73
138,0.14,0.66
139,0.11,0.71
140,0.11,0.58
141,0.00,0.00
142,0.14,0.50
143,0.18,0.79
144,0.12,0.62
145,0.12,0.51
146,0.16,0.53
147,0.11,0.36
148,0.21,0.52
149,0.14,0.71
150,0.16,0.64
151,0.17,0.54
152,0.25,0.40
153,0.12,0.64
154,0.12,0.50
155,0.12,0.66
156,0.18,0.57
157,0.19,0.57
158,0.17,0.59
159,0.16,0.59
160,0.16,0.19
161,0.16,0.70
162,0.07,0.58
163,0.06,0.48
164,0.18,0.62
165,0.13,0.49
166,0.15,0.63
167,0.11,0.58
168,0.07,0.67
169,0.18,0.60
170,0.09,0.60
171,0.17,0.55
172,0.00,0.83
173,0.17,0.47
174,0.00,0.00
175,0.14,0.54
176,0.13,0.74
177,0.12,0.59
178,0.18,0.60
179,0.13,0.44
180,0.21,0.48
181,0.17,0.60
182,0.20,0.57
183,0.10,0.44
184,0.09,0.57
185,0.19,0.46
186,0.10,0.64
187,0.09,0.38
188,0.18,0.67
189,0.10,0.69
190,0.18,0.58
191,0.18,0.76
192,0.00,0.00
193,0.16,0.60
194,0.18,0.67
195,0.15,0.51
196,0.25,0.77
197,0.27,0.57
198,0.15,0.64
199,0.22,0.80
200,0.19,0.56
201,0.10,0.60
202,0.11,0.47
203,0.15,0.55
204,0.33,0.00
205,0.13,0.75
206,0.08,0.48
207,0.16,0.32
208,0.09,0.58
209,0.00,0.00
210,0.05,0.45
211,0.10,0.48
212,0.14,0.50
213,0.25,0.25
214,0.06,0.50
215,0.10,0.37
216,0.22,0.75
217,0.09,0.41
218,0.11,0.60
219,0.19,0.58
220,0.11,0.67
221,0.27,0.35
222,0.14,0.68
223,0.19,0.57
224,0.12,0.55
225,0.12,0.50
226,0.12,0.59
227,0.11,0.64
228,0.16,0.68
229,0.13,0.72
230,0.13,0.59
231,0.20,0.54
232,0.10,0.63
233,0.17,0.57
234,0.12,0.56
235,0.11,0.65
236,0.15,0.55
237,0.14,0.68
238,0.13,0.80
239,0.05,0.33
240,0.08,0.43
241,0.09,0.55
242,0.17,0.30
243,0.00,0.57
244,0.15,0.67
245,0.11,0.36
246,0.07,0.84
247,0.19,0.63
248,0.14,0.68
249,0.25,0.75
250,0.09,0.55
251,0.13,0.36
252,0.07,0.45
253,0.15,0.40
254,0.15,0.61
255,0.14,0.52
256,0.09,0.37
257,0.05,0.79
258,0.11,0.51
259,0.19,0.53
260,0.15,0.57
261,0.00,0.33
262,0.00,0.00
263,0.14,0.78
264,0.12,0.75
265,0.50,1.00
266,0.17,0.45
267,0.10,0.58
268,0.12,0.43
269,0.00,0.00
270,0.22,0.40
271,0.16,0.48
272,0.17,0.63
273,0.11,0.60
274,0.15,0.62
275,0.15,0.81
276,0.12,0.40
277,0.16,0.48
278,0.00,0.00
279,0.00,0.50
280,0.10,0.61
281,0.12,0.52
282,0.06,0.40
283,0.14,0.78
284,0.21,0.51
285,0.18,0.55
286,0.11,0.47
287,0.19,0.46
288,0.14,0.56
289,0.16,0.64
290,0.18,0.46
291,0.18,0.48
292,0.16,0.40
293,0.14,0.59
294,0.16,0.38
295,0.13,0.52
296,0.08,0.32
297,0.12,0.63
298,0.00,0.00
299,0.09,0.59
300,0.07,0.63
301,0.13,0.67
302,0.13,0.44
303,0.16,0.74
